id_loan,monto_asignado,motivo
22f4f12c-4192-4986-aada-612465245906,1850.03,Punto ciego dayslate (bug 9)
4aa35d29-2fdc-4802-ad4f-0b460982e564,599.97,Punto ciego dayslate (bug 9)
9cd8030d-09aa-4f41-a4ec-39c04eb4f7c0,88.85,Punto ciego dayslate (bug 9)
d4d8c9a8-5876-4473-9111-ffb1780eb359,599.55,Punto ciego dayslate (bug 9)
c8c40613-8c08-4e5d-8914-8c11ebb92f85,1106.31,Punto ciego dayslate (bug 9)
c5e4f384-a18e-457c-a77e-78b171f866b6,533.91,Punto ciego dayslate (bug 9)
87aaecff-5d7e-48e5-8cbe-58fb03ec5fd7,2018.0,Punto ciego dayslate (bug 9)
cbd074e8-ef08-4aaf-8000-8750faac4c73,996.54,Punto ciego dayslate (bug 9)
7f008913-efea-43d9-b644-197754f1b3a5,2163.0,Punto ciego dayslate (bug 9)
c83712bc-2774-4ec2-be98-80cf81ae16d8,2191.41,Punto ciego dayslate (bug 9)
