"id_loan","saldo","motivo"
"d5c03b28-c39d-4eb7-afd9-5f9317a5039d","703.25","Sin asignar"
"e1326436-6218-4fcc-a4f5-393af43ade29","1682.82","Sin asignar"
"e8d70aaa-9b37-46c4-b614-522ded46bf11","6041.93","Doble producto en otra fase"
"ee6513a7-111c-4066-b8d7-4aff45a31457","370.14","Sin asignar"
"45b3a109-47ec-4b93-b0c9-0520da85367a","724.78","Grupo de control"
"740a0554-225d-48c2-bb18-6c4ba6b416ee","723.99","Grupo de control"
"effc800d-4416-4f35-bdda-0c33ac96407a","160.58","Sin asignar"
"15db54f5-9877-4492-a1d7-16602f57fbf3","614.53","Sin asignar"
"b611c380-f787-4925-bbb5-3d02e53ed96e","389.09","Grupo de control"
"3f67e038-8cef-4b4f-ad28-2b901d1f4ea6","5385.05","Grupo de control"
"1a0c010a-1b27-4038-8df4-3edaa96c9a99","587.81","Sin asignar"
"0f11dfe5-f7ad-4f5f-b74d-a7e3e9efa354","995.37","Grupo de control"
"16e2a175-e099-48f7-8446-b41ec6dfd2d5","700.56","Grupo de control"
"38149e37-76b4-401d-91f2-46587bc78fd4","2141.58","Grupo de control"
"82705569-ed00-4077-b881-f348c57e16aa","1373.79","Grupo de control"
"a6be3a72-b091-4ec2-9716-c972164e46b5","1607.82","Grupo de control"
"bd451e1c-e11b-495b-bb41-7b8564f40559","124.16","Sin asignar"
"88decf28-5986-48da-a3f1-bd0cec7c947d","1457.61","Grupo de control"
"102ce191-8b73-43e4-baca-e03e988a2055","1924.87","Grupo de control"
"338bb9ca-d4bf-4555-a481-184d9c230558","373.07","Sin asignar"
"478e6585-9056-4337-aad1-9b2a80c60916","1489.85","Sin asignar"
"606383e8-8c16-4d6f-b54b-1a90a59e26ef","808.78","Grupo de control"
"63ec44f8-05f9-4321-84a0-2ad1c25534f6","1986.33","Grupo de control"
"856d15d3-2d4f-4b1c-8f97-35cfc65a4776","724.78","Grupo de control"
"8932f1a6-21ee-4482-9cc8-a726eb3aab9b","1945.56","Grupo de control"
"b95b6848-debf-4c18-a24d-3f94bc16abda","1018.0","Grupo de control"
"d49bfc71-1b0d-41a0-81ea-e56b3ac3b292","837.08","Grupo de control"
"e9d066b6-95a4-4025-8847-ff8754bc4d64","4905.37","Grupo de control"
"152e518b-5642-43f2-8caf-d90f835a5a01","1035.78","Grupo de control"
"535ee886-7167-461b-a83f-8671e3897f6a","1736.68","Grupo de control"
"66f5193d-4949-4fa5-9f5b-a38a9b9a5c96","723.22","Sin asignar"
"751c9f4c-f4e6-4ac1-90ed-b717c755cb34","482.3","Grupo de control"
"7da82ea6-5270-47ba-9f46-efd89aad5d01","532.75","Sin asignar"
"8ce993c6-989b-4ae2-8f29-0f118ce9c7e3","1018.0","Grupo de control"
